YearQuarter,Industry,Total Gross Earnings
1989Q1,"Professional, Scientific, Technical, Administrative and Support Services",38655300
1989Q2,"Professional, Scientific, Technical, Administrative and Support Services",39739000
1989Q3,"Professional, Scientific, Technical, Administrative and Support Services",40507000
1989Q4,"Professional, Scientific, Technical, Administrative and Support Services",40996900
1990Q1,"Professional, Scientific, Technical, Administrative and Support Services",41658200
1990Q2,"Professional, Scientific, Technical, Administrative and Support Services",39617300
1990Q3,"Professional, Scientific, Technical, Administrative and Support Services",41809500
1990Q4,"Professional, Scientific, Technical, Administrative and Support Services",41185800
1991Q1,"Professional, Scientific, Technical, Administrative and Support Services",42392300
1991Q2,"Professional, Scientific, Technical, Administrative and Support Services",42222300
1991Q3,"Professional, Scientific, Technical, Administrative and Support Services",40530900
1991Q4,"Professional, Scientific, Technical, Administrative and Support Services",40612100
1992Q1,"Professional, Scientific, Technical, Administrative and Support Services",42496400
1992Q2,"Professional, Scientific, Technical, Administrative and Support Services",42547000
1992Q3,"Professional, Scientific, Technical, Administrative and Support Services",42086900
1992Q4,"Professional, Scientific, Technical, Administrative and Support Services",43172000
1993Q1,"Professional, Scientific, Technical, Administrative and Support Services",42238400
1993Q2,"Professional, Scientific, Technical, Administrative and Support Services",42658800
1993Q3,"Professional, Scientific, Technical, Administrative and Support Services",42402800
1993Q4,"Professional, Scientific, Technical, Administrative and Support Services",43473200
1994Q1,"Professional, Scientific, Technical, Administrative and Support Services",47315800
1994Q2,"Professional, Scientific, Technical, Administrative and Support Services",48014700
1994Q3,"Professional, Scientific, Technical, Administrative and Support Services",48341500
1994Q4,"Professional, Scientific, Technical, Administrative and Support Services",50318000
1995Q1,"Professional, Scientific, Technical, Administrative and Support Services",52933100
1995Q2,"Professional, Scientific, Technical, Administrative and Support Services",51717100
1995Q3,"Professional, Scientific, Technical, Administrative and Support Services",54721500
1995Q4,"Professional, Scientific, Technical, Administrative and Support Services",56018800
1996Q1,"Professional, Scientific, Technical, Administrative and Support Services",57553000
1996Q2,"Professional, Scientific, Technical, Administrative and Support Services",59478700
1996Q3,"Professional, Scientific, Technical, Administrative and Support Services",62140600
1996Q4,"Professional, Scientific, Technical, Administrative and Support Services",64451300
1997Q1,"Professional, Scientific, Technical, Administrative and Support Services",62664100
1997Q2,"Professional, Scientific, Technical, Administrative and Support Services",66589100
1997Q3,"Professional, Scientific, Technical, Administrative and Support Services",69523600
1997Q4,"Professional, Scientific, Technical, Administrative and Support Services",71126300
1998Q1,"Professional, Scientific, Technical, Administrative and Support Services",69477100
1998Q2,"Professional, Scientific, Technical, Administrative and Support Services",74340100
1998Q3,"Professional, Scientific, Technical, Administrative and Support Services",74098600
1998Q4,"Professional, Scientific, Technical, Administrative and Support Services",78054700
1999Q1,"Professional, Scientific, Technical, Administrative and Support Services",76347400
1999Q2,"Professional, Scientific, Technical, Administrative and Support Services",78171500
1999Q3,"Professional, Scientific, Technical, Administrative and Support Services",79708300
1999Q4,"Professional, Scientific, Technical, Administrative and Support Services",78415300
2000Q1,"Professional, Scientific, Technical, Administrative and Support Services",79874100
2000Q2,"Professional, Scientific, Technical, Administrative and Support Services",82224700
2000Q3,"Professional, Scientific, Technical, Administrative and Support Services",84707800
2000Q4,"Professional, Scientific, Technical, Administrative and Support Services",85934200
2001Q1,"Professional, Scientific, Technical, Administrative and Support Services",88165300
2001Q2,"Professional, Scientific, Technical, Administrative and Support Services",89416500
2001Q3,"Professional, Scientific, Technical, Administrative and Support Services",90372300
2001Q4,"Professional, Scientific, Technical, Administrative and Support Services",92364700
2002Q1,"Professional, Scientific, Technical, Administrative and Support Services",95879600
2002Q2,"Professional, Scientific, Technical, Administrative and Support Services",94648000
2002Q3,"Professional, Scientific, Technical, Administrative and Support Services",96524000
2002Q4,"Professional, Scientific, Technical, Administrative and Support Services",99398200
2003Q1,"Professional, Scientific, Technical, Administrative and Support Services",101047800
2003Q2,"Professional, Scientific, Technical, Administrative and Support Services",103775800
2003Q3,"Professional, Scientific, Technical, Administrative and Support Services",107771600
2003Q4,"Professional, Scientific, Technical, Administrative and Support Services",108847300
2004Q1,"Professional, Scientific, Technical, Administrative and Support Services",113075000
2004Q2,"Professional, Scientific, Technical, Administrative and Support Services",111476800
2004Q3,"Professional, Scientific, Technical, Administrative and Support Services",111453800
2004Q4,"Professional, Scientific, Technical, Administrative and Support Services",116502400
2005Q1,"Professional, Scientific, Technical, Administrative and Support Services",121536000
2005Q2,"Professional, Scientific, Technical, Administrative and Support Services",124337300
2005Q3,"Professional, Scientific, Technical, Administrative and Support Services",125536300
2005Q4,"Professional, Scientific, Technical, Administrative and Support Services",123860800
2006Q1,"Professional, Scientific, Technical, Administrative and Support Services",130106500
2006Q2,"Professional, Scientific, Technical, Administrative and Support Services",134886700
2006Q3,"Professional, Scientific, Technical, Administrative and Support Services",141468100
2006Q4,"Professional, Scientific, Technical, Administrative and Support Services",147619500
2007Q1,"Professional, Scientific, Technical, Administrative and Support Services",144945400
2007Q2,"Professional, Scientific, Technical, Administrative and Support Services",148254800
2007Q3,"Professional, Scientific, Technical, Administrative and Support Services",152659900
2007Q4,"Professional, Scientific, Technical, Administrative and Support Services",156938100
2008Q1,"Professional, Scientific, Technical, Administrative and Support Services",157693300
2008Q2,"Professional, Scientific, Technical, Administrative and Support Services",155751200
2008Q3,"Professional, Scientific, Technical, Administrative and Support Services",161022300
2008Q4,"Professional, Scientific, Technical, Administrative and Support Services",167555400
2009Q1,"Professional, Scientific, Technical, Administrative and Support Services",171991600
2009Q2,"Professional, Scientific, Technical, Administrative and Support Services",175922500
2009Q3,"Professional, Scientific, Technical, Administrative and Support Services",176541700
2009Q4,"Professional, Scientific, Technical, Administrative and Support Services",178489500
2010Q1,"Professional, Scientific, Technical, Administrative and Support Services",177563400
2010Q2,"Professional, Scientific, Technical, Administrative and Support Services",186228600
2010Q3,"Professional, Scientific, Technical, Administrative and Support Services",185458900
2010Q4,"Professional, Scientific, Technical, Administrative and Support Services",183711300
2011Q1,"Professional, Scientific, Technical, Administrative and Support Services",188882800
2011Q2,"Professional, Scientific, Technical, Administrative and Support Services",200503400
2011Q3,"Professional, Scientific, Technical, Administrative and Support Services",197202500
2011Q4,"Professional, Scientific, Technical, Administrative and Support Services",202852100
2012Q1,"Professional, Scientific, Technical, Administrative and Support Services",211787200
2012Q2,"Professional, Scientific, Technical, Administrative and Support Services",213915500
2012Q3,"Professional, Scientific, Technical, Administrative and Support Services",209991900
2012Q4,"Professional, Scientific, Technical, Administrative and Support Services",212654000
2013Q1,"Professional, Scientific, Technical, Administrative and Support Services",221428200
2013Q2,"Professional, Scientific, Technical, Administrative and Support Services",227670100
2013Q3,"Professional, Scientific, Technical, Administrative and Support Services",227069000
2013Q4,"Professional, Scientific, Technical, Administrative and Support Services",222921200
2014Q1,"Professional, Scientific, Technical, Administrative and Support Services",221533800
2014Q2,"Professional, Scientific, Technical, Administrative and Support Services",237546000
2014Q3,"Professional, Scientific, Technical, Administrative and Support Services",226662600
2014Q4,"Professional, Scientific, Technical, Administrative and Support Services",229663300
2015Q1,"Professional, Scientific, Technical, Administrative and Support Services",238272700
2015Q2,"Professional, Scientific, Technical, Administrative and Support Services",247939600
2015Q3,"Professional, Scientific, Technical, Administrative and Support Services",241950600
2015Q4,"Professional, Scientific, Technical, Administrative and Support Services",247876600
2016Q1,"Professional, Scientific, Technical, Administrative and Support Services",257756700
2016Q2,"Professional, Scientific, Technical, Administrative and Support Services",260548600
2016Q3,"Professional, Scientific, Technical, Administrative and Support Services",266286400
2016Q4,"Professional, Scientific, Technical, Administrative and Support Services",270735700
2017Q1,"Professional, Scientific, Technical, Administrative and Support Services",275143400
2017Q2,"Professional, Scientific, Technical, Administrative and Support Services",287889300
2017Q3,"Professional, Scientific, Technical, Administrative and Support Services",288332100
2017Q4,"Professional, Scientific, Technical, Administrative and Support Services",299844500
2018Q1,"Professional, Scientific, Technical, Administrative and Support Services",301355300
2018Q2,"Professional, Scientific, Technical, Administrative and Support Services",308601400
2018Q3,"Professional, Scientific, Technical, Administrative and Support Services",305233100
2018Q4,"Professional, Scientific, Technical, Administrative and Support Services",314014500
1989Q1,Public Administration and Safety,37938800
1989Q2,Public Administration and Safety,39651400
1989Q3,Public Administration and Safety,39483000
1989Q4,Public Administration and Safety,41091400
1990Q1,Public Administration and Safety,40858500
1990Q2,Public Administration and Safety,42057900
1990Q3,Public Administration and Safety,42057000
1990Q4,Public Administration and Safety,43336400
1991Q1,Public Administration and Safety,43545800
1991Q2,Public Administration and Safety,43444100
1991Q3,Public Administration and Safety,42884900
1991Q4,Public Administration and Safety,42768100
1992Q1,Public Administration and Safety,43725900
1992Q2,Public Administration and Safety,43717100
1992Q3,Public Administration and Safety,42954000
1992Q4,Public Administration and Safety,43461500
1993Q1,Public Administration and Safety,43794500
1993Q2,Public Administration and Safety,43336500
1993Q3,Public Administration and Safety,42994700
1993Q4,Public Administration and Safety,43329100
1994Q1,Public Administration and Safety,44334300
1994Q2,Public Administration and Safety,44636000
1994Q3,Public Administration and Safety,44641200
1994Q4,Public Administration and Safety,44869700
1995Q1,Public Administration and Safety,45614900
1995Q2,Public Administration and Safety,45472900
1995Q3,Public Administration and Safety,45904800
1995Q4,Public Administration and Safety,46141100
1996Q1,Public Administration and Safety,46239600
1996Q2,Public Administration and Safety,45807900
1996Q3,Public Administration and Safety,46958800
1996Q4,Public Administration and Safety,46597100
1997Q1,Public Administration and Safety,45916100
1997Q2,Public Administration and Safety,45764300
1997Q3,Public Administration and Safety,45149800
1997Q4,Public Administration and Safety,46813400
1998Q1,Public Administration and Safety,46563400
1998Q2,Public Administration and Safety,47415100
1998Q3,Public Administration and Safety,47007600
1998Q4,Public Administration and Safety,47195600
1999Q1,Public Administration and Safety,48435900
1999Q2,Public Administration and Safety,48353600
1999Q3,Public Administration and Safety,49219400
1999Q4,Public Administration and Safety,50048700
2000Q1,Public Administration and Safety,47625100
2000Q2,Public Administration and Safety,48544400
2000Q3,Public Administration and Safety,50295800
2000Q4,Public Administration and Safety,52774000
2001Q1,Public Administration and Safety,52846700
2001Q2,Public Administration and Safety,52979000
2001Q3,Public Administration and Safety,53159500
2001Q4,Public Administration and Safety,53869700
2002Q1,Public Administration and Safety,54113100
2002Q2,Public Administration and Safety,55671300
2002Q3,Public Administration and Safety,57125200
2002Q4,Public Administration and Safety,57211900
2003Q1,Public Administration and Safety,57886900
2003Q2,Public Administration and Safety,57543000
2003Q3,Public Administration and Safety,59690700
2003Q4,Public Administration and Safety,64111100
2004Q1,Public Administration and Safety,64719200
2004Q2,Public Administration and Safety,65439200
2004Q3,Public Administration and Safety,66185300
2004Q4,Public Administration and Safety,68190800
2005Q1,Public Administration and Safety,70833700
2005Q2,Public Administration and Safety,71181800
2005Q3,Public Administration and Safety,71234800
2005Q4,Public Administration and Safety,74726000
2006Q1,Public Administration and Safety,76683400
2006Q2,Public Administration and Safety,76304500
2006Q3,Public Administration and Safety,77162400
2006Q4,Public Administration and Safety,81046700
2007Q1,Public Administration and Safety,82443000
2007Q2,Public Administration and Safety,84305500
2007Q3,Public Administration and Safety,84916700
2007Q4,Public Administration and Safety,88895000
2008Q1,Public Administration and Safety,89058400
2008Q2,Public Administration and Safety,90062500
2008Q3,Public Administration and Safety,90930200
2008Q4,Public Administration and Safety,92616800
2009Q1,Public Administration and Safety,93493900
2009Q2,Public Administration and Safety,96061600
2009Q3,Public Administration and Safety,93775000
2009Q4,Public Administration and Safety,95132000
2010Q1,Public Administration and Safety,97562700
2010Q2,Public Administration and Safety,100566400
2010Q3,Public Administration and Safety,102355000
2010Q4,Public Administration and Safety,100887400
2011Q1,Public Administration and Safety,103941900
2011Q2,Public Administration and Safety,103210300
2011Q3,Public Administration and Safety,102564200
2011Q4,Public Administration and Safety,104358600
2012Q1,Public Administration and Safety,102969000
2012Q2,Public Administration and Safety,105657400
2012Q3,Public Administration and Safety,104551600
2012Q4,Public Administration and Safety,112217900
2013Q1,Public Administration and Safety,114558100
2013Q2,Public Administration and Safety,115657800
2013Q3,Public Administration and Safety,118420800
2013Q4,Public Administration and Safety,119597600
2014Q1,Public Administration and Safety,119773300
2014Q2,Public Administration and Safety,121348300
2014Q3,Public Administration and Safety,121839600
2014Q4,Public Administration and Safety,124708500
2015Q1,Public Administration and Safety,125548600
2015Q2,Public Administration and Safety,125654700
2015Q3,Public Administration and Safety,126750100
2015Q4,Public Administration and Safety,129174300
2016Q1,Public Administration and Safety,132221500
2016Q2,Public Administration and Safety,130232000
2016Q3,Public Administration and Safety,135289400
2016Q4,Public Administration and Safety,142797600
2017Q1,Public Administration and Safety,143010900
2017Q2,Public Administration and Safety,140039100
2017Q3,Public Administration and Safety,138902600
2017Q4,Public Administration and Safety,146252200
2018Q1,Public Administration and Safety,145582600
2018Q2,Public Administration and Safety,147869000
2018Q3,Public Administration and Safety,149304200
2018Q4,Public Administration and Safety,154420300
1989Q1,Education and Training,42837900
1989Q2,Education and Training,42733400
1989Q3,Education and Training,44566500
1989Q4,Education and Training,44880600
1990Q1,Education and Training,44442600
1990Q2,Education and Training,45371300
1990Q3,Education and Training,47523800
1990Q4,Education and Training,49861900
1991Q1,Education and Training,49670000
1991Q2,Education and Training,50447500
1991Q3,Education and Training,51357000
1991Q4,Education and Training,51065100
1992Q1,Education and Training,49835400
1992Q2,Education and Training,50806100
1992Q3,Education and Training,51347600
1992Q4,Education and Training,52235800
1993Q1,Education and Training,51476200
1993Q2,Education and Training,53135400
1993Q3,Education and Training,54278400
1993Q4,Education and Training,54509400
1994Q1,Education and Training,53031900
1994Q2,Education and Training,54541900
1994Q3,Education and Training,55627900
1994Q4,Education and Training,56606800
1995Q1,Education and Training,54280900
1995Q2,Education and Training,56617900
1995Q3,Education and Training,58439600
1995Q4,Education and Training,59916800
1996Q1,Education and Training,59538500
1996Q2,Education and Training,61792400
1996Q3,Education and Training,62844500
1996Q4,Education and Training,65322400
1997Q1,Education and Training,61835000
1997Q2,Education and Training,67272100
1997Q3,Education and Training,68047200
1997Q4,Education and Training,68683400
1998Q1,Education and Training,67092300
1998Q2,Education and Training,70816300
1998Q3,Education and Training,72277900
1998Q4,Education and Training,73620900
1999Q1,Education and Training,74763100
1999Q2,Education and Training,76093700
1999Q3,Education and Training,75908600
1999Q4,Education and Training,78992300
2000Q1,Education and Training,75801300
2000Q2,Education and Training,80377900
2000Q3,Education and Training,82081200
2000Q4,Education and Training,82636800
2001Q1,Education and Training,76436900
2001Q2,Education and Training,82898900
2001Q3,Education and Training,84631200
2001Q4,Education and Training,88076400
2002Q1,Education and Training,86474600
2002Q2,Education and Training,91323200
2002Q3,Education and Training,94111900
2002Q4,Education and Training,95957800
2003Q1,Education and Training,95262500
2003Q2,Education and Training,99000700
2003Q3,Education and Training,102989800
2003Q4,Education and Training,104162200
2004Q1,Education and Training,101475300
2004Q2,Education and Training,105851800
2004Q3,Education and Training,108219400
2004Q4,Education and Training,110924100
2005Q1,Education and Training,103085000
2005Q2,Education and Training,107606200
2005Q3,Education and Training,107682100
2005Q4,Education and Training,111841300
2006Q1,Education and Training,106842700
2006Q2,Education and Training,113458800
2006Q3,Education and Training,114335900
2006Q4,Education and Training,118544600
2007Q1,Education and Training,109841100
2007Q2,Education and Training,119145700
2007Q3,Education and Training,122199000
2007Q4,Education and Training,123637000
2008Q1,Education and Training,114985900
2008Q2,Education and Training,123124400
2008Q3,Education and Training,132127000
2008Q4,Education and Training,135259100
2009Q1,Education and Training,128140000
2009Q2,Education and Training,132563700
2009Q3,Education and Training,135517200
2009Q4,Education and Training,134948200
2010Q1,Education and Training,121993200
2010Q2,Education and Training,133641700
2010Q3,Education and Training,136382100
2010Q4,Education and Training,139751600
2011Q1,Education and Training,121279800
2011Q2,Education and Training,139771000
2011Q3,Education and Training,142307200
2011Q4,Education and Training,142984000
2012Q1,Education and Training,126250400
2012Q2,Education and Training,142923300
2012Q3,Education and Training,142734900
2012Q4,Education and Training,143716300
2013Q1,Education and Training,129072200
2013Q2,Education and Training,144705600
2013Q3,Education and Training,149214800
2013Q4,Education and Training,150125400
2014Q1,Education and Training,134484100
2014Q2,Education and Training,145976800
2014Q3,Education and Training,148177800
2014Q4,Education and Training,148408000
2015Q1,Education and Training,138891200
2015Q2,Education and Training,150734500
2015Q3,Education and Training,155654300
2015Q4,Education and Training,162306100
2016Q1,Education and Training,144944400
2016Q2,Education and Training,157148700
2016Q3,Education and Training,158155400
2016Q4,Education and Training,160790200
2017Q1,Education and Training,138100900
2017Q2,Education and Training,155616900
2017Q3,Education and Training,160488000
2017Q4,Education and Training,162597200
2018Q1,Education and Training,151707500
2018Q2,Education and Training,168478700
2018Q3,Education and Training,168336400
2018Q4,Education and Training,168838800
1989Q1,Health Care and Social Assistance,41481000
1989Q2,Health Care and Social Assistance,39883400
1989Q3,Health Care and Social Assistance,39999400
1989Q4,Health Care and Social Assistance,40267200
1990Q1,Health Care and Social Assistance,40945900
1990Q2,Health Care and Social Assistance,41633700
1990Q3,Health Care and Social Assistance,42525500
1990Q4,Health Care and Social Assistance,43526800
1991Q1,Health Care and Social Assistance,45138500
1991Q2,Health Care and Social Assistance,44582500
1991Q3,Health Care and Social Assistance,45233000
1991Q4,Health Care and Social Assistance,44675000
1992Q1,Health Care and Social Assistance,45910800
1992Q2,Health Care and Social Assistance,45700300
1992Q3,Health Care and Social Assistance,45277000
1992Q4,Health Care and Social Assistance,45481200
1993Q1,Health Care and Social Assistance,45693800
1993Q2,Health Care and Social Assistance,46523400
1993Q3,Health Care and Social Assistance,46761800
1993Q4,Health Care and Social Assistance,46491400
1994Q1,Health Care and Social Assistance,48039800
1994Q2,Health Care and Social Assistance,48905700
1994Q3,Health Care and Social Assistance,47417700
1994Q4,Health Care and Social Assistance,50283500
1995Q1,Health Care and Social Assistance,49190000
1995Q2,Health Care and Social Assistance,49344500
1995Q3,Health Care and Social Assistance,50583900
1995Q4,Health Care and Social Assistance,51151200
1996Q1,Health Care and Social Assistance,50855300
1996Q2,Health Care and Social Assistance,52963200
1996Q3,Health Care and Social Assistance,54586900
1996Q4,Health Care and Social Assistance,55391300
1997Q1,Health Care and Social Assistance,54926700
1997Q2,Health Care and Social Assistance,57259900
1997Q3,Health Care and Social Assistance,60946800
1997Q4,Health Care and Social Assistance,59482600
1998Q1,Health Care and Social Assistance,57318000
1998Q2,Health Care and Social Assistance,59205500
1998Q3,Health Care and Social Assistance,60858300
1998Q4,Health Care and Social Assistance,61386800
1999Q1,Health Care and Social Assistance,60795000
1999Q2,Health Care and Social Assistance,63526000
1999Q3,Health Care and Social Assistance,62943900
1999Q4,Health Care and Social Assistance,64475900
2000Q1,Health Care and Social Assistance,63807900
2000Q2,Health Care and Social Assistance,65874200
2000Q3,Health Care and Social Assistance,68469400
2000Q4,Health Care and Social Assistance,68304000
2001Q1,Health Care and Social Assistance,69214700
2001Q2,Health Care and Social Assistance,72467800
2001Q3,Health Care and Social Assistance,76971900
2001Q4,Health Care and Social Assistance,76646200
2002Q1,Health Care and Social Assistance,77538200
2002Q2,Health Care and Social Assistance,78559000
2002Q3,Health Care and Social Assistance,79370100
2002Q4,Health Care and Social Assistance,82275900
2003Q1,Health Care and Social Assistance,82896100
2003Q2,Health Care and Social Assistance,84913900
2003Q3,Health Care and Social Assistance,83367500
2003Q4,Health Care and Social Assistance,88055400
2004Q1,Health Care and Social Assistance,89663100
2004Q2,Health Care and Social Assistance,91146100
2004Q3,Health Care and Social Assistance,91362000
2004Q4,Health Care and Social Assistance,94356300
2005Q1,Health Care and Social Assistance,95368200
2005Q2,Health Care and Social Assistance,99437000
2005Q3,Health Care and Social Assistance,101427500
2005Q4,Health Care and Social Assistance,103789100
2006Q1,Health Care and Social Assistance,104952600
2006Q2,Health Care and Social Assistance,106746100
2006Q3,Health Care and Social Assistance,110494700
2006Q4,Health Care and Social Assistance,113209900
2007Q1,Health Care and Social Assistance,116668500
2007Q2,Health Care and Social Assistance,116171600
2007Q3,Health Care and Social Assistance,119118400
2007Q4,Health Care and Social Assistance,120987300
2008Q1,Health Care and Social Assistance,125989700
2008Q2,Health Care and Social Assistance,129711200
2008Q3,Health Care and Social Assistance,133403000
2008Q4,Health Care and Social Assistance,135940300
2009Q1,Health Care and Social Assistance,139120900
2009Q2,Health Care and Social Assistance,137269000
2009Q3,Health Care and Social Assistance,138455700
2009Q4,Health Care and Social Assistance,142344700
2010Q1,Health Care and Social Assistance,146186000
2010Q2,Health Care and Social Assistance,145914100
2010Q3,Health Care and Social Assistance,147982900
2010Q4,Health Care and Social Assistance,150935700
2011Q1,Health Care and Social Assistance,152565900
2011Q2,Health Care and Social Assistance,152942500
2011Q3,Health Care and Social Assistance,150863800
2011Q4,Health Care and Social Assistance,152487700
2012Q1,Health Care and Social Assistance,156316700
2012Q2,Health Care and Social Assistance,160645200
2012Q3,Health Care and Social Assistance,157379800
2012Q4,Health Care and Social Assistance,160010000
2013Q1,Health Care and Social Assistance,159906100
2013Q2,Health Care and Social Assistance,163872800
2013Q3,Health Care and Social Assistance,167360700
2013Q4,Health Care and Social Assistance,172557200
2014Q1,Health Care and Social Assistance,177347700
2014Q2,Health Care and Social Assistance,176575900
2014Q3,Health Care and Social Assistance,178842900
2014Q4,Health Care and Social Assistance,182170300
2015Q1,Health Care and Social Assistance,184582800
2015Q2,Health Care and Social Assistance,189026800
2015Q3,Health Care and Social Assistance,188509800
2015Q4,Health Care and Social Assistance,191541000
2016Q1,Health Care and Social Assistance,197211700
2016Q2,Health Care and Social Assistance,196740600
2016Q3,Health Care and Social Assistance,197074000
2016Q4,Health Care and Social Assistance,200363900
2017Q1,Health Care and Social Assistance,207264500
2017Q2,Health Care and Social Assistance,207492500
2017Q3,Health Care and Social Assistance,215480000
2017Q4,Health Care and Social Assistance,218722200
2018Q1,Health Care and Social Assistance,220860600
2018Q2,Health Care and Social Assistance,223391000
2018Q3,Health Care and Social Assistance,227705600
2018Q4,Health Care and Social Assistance,229726500
1989Q1,"Arts, Recreation and Other Services",19038500
1989Q2,"Arts, Recreation and Other Services",19005900
1989Q3,"Arts, Recreation and Other Services",18774600
1989Q4,"Arts, Recreation and Other Services",18702400
1990Q1,"Arts, Recreation and Other Services",19752700
1990Q2,"Arts, Recreation and Other Services",19047500
1990Q3,"Arts, Recreation and Other Services",19173900
1990Q4,"Arts, Recreation and Other Services",19262200
1991Q1,"Arts, Recreation and Other Services",20594700
1991Q2,"Arts, Recreation and Other Services",20147000
1991Q3,"Arts, Recreation and Other Services",19883100
1991Q4,"Arts, Recreation and Other Services",20013300
1992Q1,"Arts, Recreation and Other Services",20747800
1992Q2,"Arts, Recreation and Other Services",20348300
1992Q3,"Arts, Recreation and Other Services",20425300
1992Q4,"Arts, Recreation and Other Services",20928800
1993Q1,"Arts, Recreation and Other Services",21866700
1993Q2,"Arts, Recreation and Other Services",21524500
1993Q3,"Arts, Recreation and Other Services",21617900
1993Q4,"Arts, Recreation and Other Services",21882300
1994Q1,"Arts, Recreation and Other Services",23051000
1994Q2,"Arts, Recreation and Other Services",23608700
1994Q3,"Arts, Recreation and Other Services",24002500
1994Q4,"Arts, Recreation and Other Services",24809300
1995Q1,"Arts, Recreation and Other Services",25255000
1995Q2,"Arts, Recreation and Other Services",25293700
1995Q3,"Arts, Recreation and Other Services",26202300
1995Q4,"Arts, Recreation and Other Services",26423500
1996Q1,"Arts, Recreation and Other Services",27565000
1996Q2,"Arts, Recreation and Other Services",27027300
1996Q3,"Arts, Recreation and Other Services",28803200
1996Q4,"Arts, Recreation and Other Services",28855400
1997Q1,"Arts, Recreation and Other Services",28721400
1997Q2,"Arts, Recreation and Other Services",29210000
1997Q3,"Arts, Recreation and Other Services",29263700
1997Q4,"Arts, Recreation and Other Services",30152900
1998Q1,"Arts, Recreation and Other Services",29552600
1998Q2,"Arts, Recreation and Other Services",30771500
1998Q3,"Arts, Recreation and Other Services",31336300
1998Q4,"Arts, Recreation and Other Services",31349600
1999Q1,"Arts, Recreation and Other Services",32591800
1999Q2,"Arts, Recreation and Other Services",31261800
1999Q3,"Arts, Recreation and Other Services",32097700
1999Q4,"Arts, Recreation and Other Services",33770800
2000Q1,"Arts, Recreation and Other Services",33374500
2000Q2,"Arts, Recreation and Other Services",33331100
2000Q3,"Arts, Recreation and Other Services",33722300
2000Q4,"Arts, Recreation and Other Services",35258300
2001Q1,"Arts, Recreation and Other Services",36202600
2001Q2,"Arts, Recreation and Other Services",36145200
2001Q3,"Arts, Recreation and Other Services",35916800
2001Q4,"Arts, Recreation and Other Services",37072000
2002Q1,"Arts, Recreation and Other Services",37698200
2002Q2,"Arts, Recreation and Other Services",38201200
2002Q3,"Arts, Recreation and Other Services",40632900
2002Q4,"Arts, Recreation and Other Services",41083200
2003Q1,"Arts, Recreation and Other Services",41350600
2003Q2,"Arts, Recreation and Other Services",41038000
2003Q3,"Arts, Recreation and Other Services",40569000
2003Q4,"Arts, Recreation and Other Services",43221000
2004Q1,"Arts, Recreation and Other Services",43713600
2004Q2,"Arts, Recreation and Other Services",44297500
2004Q3,"Arts, Recreation and Other Services",44608300
2004Q4,"Arts, Recreation and Other Services",45650600
2005Q1,"Arts, Recreation and Other Services",46200800
2005Q2,"Arts, Recreation and Other Services",44751700
2005Q3,"Arts, Recreation and Other Services",47475000
2005Q4,"Arts, Recreation and Other Services",48527600
2006Q1,"Arts, Recreation and Other Services",50113000
2006Q2,"Arts, Recreation and Other Services",49211100
2006Q3,"Arts, Recreation and Other Services",49871200
2006Q4,"Arts, Recreation and Other Services",50621700
2007Q1,"Arts, Recreation and Other Services",51091500
2007Q2,"Arts, Recreation and Other Services",49802500
2007Q3,"Arts, Recreation and Other Services",50612200
2007Q4,"Arts, Recreation and Other Services",51695900
2008Q1,"Arts, Recreation and Other Services",53092300
2008Q2,"Arts, Recreation and Other Services",51699300
2008Q3,"Arts, Recreation and Other Services",51719400
2008Q4,"Arts, Recreation and Other Services",52530100
2009Q1,"Arts, Recreation and Other Services",52606000
2009Q2,"Arts, Recreation and Other Services",51101300
2009Q3,"Arts, Recreation and Other Services",51597000
2009Q4,"Arts, Recreation and Other Services",53311100
2010Q1,"Arts, Recreation and Other Services",54419500
2010Q2,"Arts, Recreation and Other Services",55994100
2010Q3,"Arts, Recreation and Other Services",56495500
2010Q4,"Arts, Recreation and Other Services",55688200
2011Q1,"Arts, Recreation and Other Services",56852900
2011Q2,"Arts, Recreation and Other Services",56624600
2011Q3,"Arts, Recreation and Other Services",57354200
2011Q4,"Arts, Recreation and Other Services",56418600
2012Q1,"Arts, Recreation and Other Services",54937700
2012Q2,"Arts, Recreation and Other Services",54346100
2012Q3,"Arts, Recreation and Other Services",53383900
2012Q4,"Arts, Recreation and Other Services",55842000
2013Q1,"Arts, Recreation and Other Services",57561200
2013Q2,"Arts, Recreation and Other Services",55810200
2013Q3,"Arts, Recreation and Other Services",57568700
2013Q4,"Arts, Recreation and Other Services",58266800
2014Q1,"Arts, Recreation and Other Services",61083500
2014Q2,"Arts, Recreation and Other Services",61162700
2014Q3,"Arts, Recreation and Other Services",60387700
2014Q4,"Arts, Recreation and Other Services",62413500
2015Q1,"Arts, Recreation and Other Services",65384700
2015Q2,"Arts, Recreation and Other Services",61271600
2015Q3,"Arts, Recreation and Other Services",61917800
2015Q4,"Arts, Recreation and Other Services",64408400
2016Q1,"Arts, Recreation and Other Services",66181500
2016Q2,"Arts, Recreation and Other Services",65898900
2016Q3,"Arts, Recreation and Other Services",66932700
2016Q4,"Arts, Recreation and Other Services",70949600
2017Q1,"Arts, Recreation and Other Services",70547200
2017Q2,"Arts, Recreation and Other Services",68344500
2017Q3,"Arts, Recreation and Other Services",70413300
2017Q4,"Arts, Recreation and Other Services",71579600
2018Q1,"Arts, Recreation and Other Services",72828700
