YearQuarter,Industry,Total Gross Earnings
2000Q1,"Electricity, Gas, Water and Waste Services",7634800
2000Q2,"Electricity, Gas, Water and Waste Services",8185500
2000Q3,"Electricity, Gas, Water and Waste Services",7404400
2000Q4,"Electricity, Gas, Water and Waste Services",7839900
2001Q1,"Electricity, Gas, Water and Waste Services",7788900
2001Q2,"Electricity, Gas, Water and Waste Services",8091500
2001Q3,"Electricity, Gas, Water and Waste Services",8093500
2001Q4,"Electricity, Gas, Water and Waste Services",8163600
2002Q1,"Electricity, Gas, Water and Waste Services",8484600
2002Q2,"Electricity, Gas, Water and Waste Services",8114000
2002Q3,"Electricity, Gas, Water and Waste Services",8206100
2002Q4,"Electricity, Gas, Water and Waste Services",8215300
2003Q1,"Electricity, Gas, Water and Waste Services",8436700
2003Q2,"Electricity, Gas, Water and Waste Services",8485900
2003Q3,"Electricity, Gas, Water and Waste Services",8271500
2003Q4,"Electricity, Gas, Water and Waste Services",8602200
2004Q1,"Electricity, Gas, Water and Waste Services",8477900
2004Q2,"Electricity, Gas, Water and Waste Services",8693300
2004Q3,"Electricity, Gas, Water and Waste Services",8753900
2004Q4,"Electricity, Gas, Water and Waste Services",8510400
2005Q1,"Electricity, Gas, Water and Waste Services",9474000
2005Q2,"Electricity, Gas, Water and Waste Services",9272300
2005Q3,"Electricity, Gas, Water and Waste Services",9544700
2005Q4,"Electricity, Gas, Water and Waste Services",9662300
2006Q1,"Electricity, Gas, Water and Waste Services",9638400
2006Q2,"Electricity, Gas, Water and Waste Services",8818300
2006Q3,"Electricity, Gas, Water and Waste Services",8719900
2006Q4,"Electricity, Gas, Water and Waste Services",8944500
2007Q1,"Electricity, Gas, Water and Waste Services",8957800
2007Q2,"Electricity, Gas, Water and Waste Services",8601500
2007Q3,"Electricity, Gas, Water and Waste Services",8935600
2007Q4,"Electricity, Gas, Water and Waste Services",9260200
2008Q1,"Electricity, Gas, Water and Waste Services",9197900
2008Q2,"Electricity, Gas, Water and Waste Services",9059000
2008Q3,"Electricity, Gas, Water and Waste Services",9139000
2008Q4,"Electricity, Gas, Water and Waste Services",9352600
2009Q1,"Electricity, Gas, Water and Waste Services",8959700
2009Q2,"Electricity, Gas, Water and Waste Services",8462000
2009Q3,"Electricity, Gas, Water and Waste Services",9063100
2009Q4,"Electricity, Gas, Water and Waste Services",10575200
2010Q1,"Electricity, Gas, Water and Waste Services",10698900
2010Q2,"Electricity, Gas, Water and Waste Services",10760800
2010Q3,"Electricity, Gas, Water and Waste Services",10898000
2010Q4,"Electricity, Gas, Water and Waste Services",11481800
2011Q1,"Electricity, Gas, Water and Waste Services",12459500
2011Q2,"Electricity, Gas, Water and Waste Services",12953100
2011Q3,"Electricity, Gas, Water and Waste Services",13309100
2011Q4,"Electricity, Gas, Water and Waste Services",13835800
2012Q1,"Electricity, Gas, Water and Waste Services",15159500
2012Q2,"Electricity, Gas, Water and Waste Services",16686700
2012Q3,"Electricity, Gas, Water and Waste Services",16116700
2012Q4,"Electricity, Gas, Water and Waste Services",16962700
2013Q1,"Electricity, Gas, Water and Waste Services",15681100
2013Q2,"Electricity, Gas, Water and Waste Services",14690600
2013Q3,"Electricity, Gas, Water and Waste Services",16207100
2013Q4,"Electricity, Gas, Water and Waste Services",16604200
2014Q1,"Electricity, Gas, Water and Waste Services",17393300
2014Q2,"Electricity, Gas, Water and Waste Services",18082600
2014Q3,"Electricity, Gas, Water and Waste Services",18390500
2014Q4,"Electricity, Gas, Water and Waste Services",19855200
2015Q1,"Electricity, Gas, Water and Waste Services",19770900
2015Q2,"Electricity, Gas, Water and Waste Services",19903600
2015Q3,"Electricity, Gas, Water and Waste Services",19988600
2015Q4,"Electricity, Gas, Water and Waste Services",20167500
2016Q1,"Electricity, Gas, Water and Waste Services",20224000
2016Q2,"Electricity, Gas, Water and Waste Services",20367500
2016Q3,"Electricity, Gas, Water and Waste Services",20317600
2016Q4,"Electricity, Gas, Water and Waste Services",20622400
2017Q1,"Electricity, Gas, Water and Waste Services",20717500
2017Q2,"Electricity, Gas, Water and Waste Services",21465300
2017Q3,"Electricity, Gas, Water and Waste Services",22245100
2017Q4,"Electricity, Gas, Water and Waste Services",23726900
2018Q1,"Electricity, Gas, Water and Waste Services",23769400
2018Q2,"Electricity, Gas, Water and Waste Services",24097300
2018Q3,"Electricity, Gas, Water and Waste Services",24243200
2018Q4,"Electricity, Gas, Water and Waste Services",23998200
1989Q1,Construction,27299800
1989Q2,Construction,26658200
1989Q3,Construction,26382300
1989Q4,Construction,26655200
1990Q1,Construction,26739900
1990Q2,Construction,25747200
1990Q3,Construction,26271400
1990Q4,Construction,25622200
1991Q1,Construction,27260300
1991Q2,Construction,24647400
1991Q3,Construction,21764300
1991Q4,Construction,22233700
1992Q1,Construction,23167600
1992Q2,Construction,21969900
1992Q3,Construction,20276700
1992Q4,Construction,21860700
1993Q1,Construction,23429100
1993Q2,Construction,22743100
1993Q3,Construction,21760900
1993Q4,Construction,23276800
1994Q1,Construction,25564400
1994Q2,Construction,25787200
